NFCSID,A1(筛选value=1,A3,B2_1（整理所有B_2�?B2_2,B2_3,B2_4,B2_5,B2_7,B2_20,B2_21,B2_23,B2_24,B2_25,B30,B4_x,B10,C22_3,C24,D2,D21,D30,G1,G30_1,G30_2,G30_3,G7,S_Income,STATEQ,A50B,A5_2015,A7A,A8_2021,A9,A10,J1,J2,J4,J40,J51_1,J51_2,J51_3,J51_4,J51_5,J51_6,J51_98,J51_99,J52,J32,J33_40,J53,J41_1,J41_2,J41_3,J42_1,J42_2,J43,B1,B2,B4_y,C1_2012,C2_2012,EA_1,E7,E8,pay credit card in full,unpaid medical bill,too much debt,good at dealing with financial matters,financial knowledge,wgt_n2,wgt_d2,wgt_s3,
2021010780,1,1,1,2,1,1,2,2,2,1,2,2,2,5,10,2,2,1,4,1,3,9,2,3,1,1,3,8,3,7,1,8,2,2,9,6,3,1,0,0,1,0,0,0,0,0,2,5,3,6,1,1,1,5,1,4,1,1,2,1,1,1,1,2,1,2,1,7,6,0.947188334,0.105796338,0.771847168
2021010789,1,1,1,1,1,1,1,2,1,2,2,2,2,2,6,3,2,3,3,1,1,10,2,3,2,1,2,26,8,6,3,6,2,,10,10,3,1,0,0,1,0,0,0,0,0,2,5,1,4,1,1,1,5,1,4,1,1,2,1,,1,2,2,1,2,1,7,7,0.367827777,1.394733181,0.754081031
2021010825,1,1,2,2,1,2,2,2,2,2,2,2,2,5,10,1,3,4,3,1,3,9,2,3,1,1,3,36,3,6,1,8,2,2,10,9,3,2,0,0,1,0,0,0,0,0,2,5,1,6,1,1,1,5,1,4,1,1,2,1,3,1,2,2,1,2,1,7,5,1.230218035,1.063528961,0.883154853
2021010832,1,1,1,1,1,2,2,1,2,2,2,2,2,3,6,2,1,3,4,3,3,6,2,3,1,1,3,33,3,7,1,7,2,2,7,8,3,1,0,1,0,0,0,0,0,0,2,5,1,5,1,2,1,4,2,4,1,1,2,1,3,1,1,2,1,2,1,7,6,1.678360814,1.148241087,0.753079945
2021010861,1,1,1,2,2,2,2,2,2,2,2,2,2,1,7,1,3,2,2,1,2,8,1,2,2,1,3,14,3,6,1,8,2,2,7,7,3,1,1,1,1,0,0,0,0,0,2,5,6,4,1,2,5,4,3,3,1,1,2,1,3,1,1,2,0,1,5,7,6,1.230218035,1.100835801,0.787143839
2021010875,1,1,1,2,2,2,2,1,2,2,2,2,2,3,2,3,2,2,4,1,3,9,2,3,1,2,3,31,3,7,3,7,1,,4,9,3,3,,,,,,,,,2,3,4,4,3,3,3,5,3,4,1,1,2,2,,2,,,0,2,3,6,7,3.957777415,0.71393929,1.181439714
2021010896,1,1,1,2,1,1,2,2,2,2,2,2,2,3,7,3,2,5,2,1,3,7,3,3,1,2,3,12,6,6,1,7,8,8,7,7,3,1,0,0,1,0,0,0,0,0,2,5,6,4,3,3,2,3,3,3,1,1,2,1,1,1,1,2,1,2,3,5,6,1.924117613,0.198477175,0.764268479
2021010898,1,1,1,2,2,2,2,2,2,2,2,2,2,4,4,2,3,1,2,1,2,3,3,3,2,2,3,18,3,6,3,7,2,,8,8,3,1,,,,,,,,,2,5,5,4,1,1,3,3,2,4,1,1,2,1,,1,1,2,1,2,1,7,5,0.638565731,0.807854878,0.79456496
2021010907,1,1,1,2,1,1,2,1,1,2,1,2,1,4,9,1,3,3,4,2,2,10,3,3,3,1,3,5,2,4,1,10,1,1,10,8,3,2,1,0,0,1,0,0,0,0,2,5,1,2,1,1,1,5,1,4,1,1,1,1,1,1,2,2,1,2,1,7,7,0.581104105,2.549638718,1.081227214
2021010948,1,1,1,1,1,1,2,2,2,2,2,2,2,5,7,2,3,3,4,1,2,9,3,3,1,1,3,41,3,7,1,8,2,3,6,7,3,3,1,0,1,0,0,0,0,0,2,5,4,4,2,2,3,3,3,3,1,1,2,1,1,2,,,1,2,4,7,5,1.326546938,0.715161709,1.410883982
2021010950,1,1,1,2,2,2,2,2,1,2,2,2,2,5,7,2,1,1,4,1,1,10,3,3,1,1,1,36,2,2,3,4,2,,10,8,3,1,0,0,1,0,0,0,0,0,2,5,1,1,1,1,1,5,1,4,1,1,2,1,,1,2,2,1,2,1,7,6,1.558444309,1.192160069,0.993334361
2021010961,1,1,1,2,2,2,2,2,2,2,1,2,2,1,2,3,2,4,1,3,3,7,1,3,2,1,1,50,3,5,3,2,7,,1,7,2,1,1,0,0,1,0,0,0,0,1,2,6,5,3,5,2,2,5,2,1,1,2,2,,2,,,1,1,7,4,4,2.13333368,0.716941937,1.227773951
2021010969,1,1,1,2,1,1,2,2,2,2,2,2,2,4,7,3,2,3,3,1,2,6,1,3,1,1,3,36,2,7,1,7,2,2,7,7,3,1,0,1,0,0,0,0,0,0,2,4,1,5,1,1,1,5,1,4,1,1,2,1,1,1,1,2,1,2,1,7,5,1.258638082,1.082145816,0.935817525
2021011016,1,1,2,2,1,2,1,2,1,2,2,2,2,4,9,3,1,5,3,3,3,3,1,3,1,1,3,12,11,7,3,7,2,,9,3,3,1,,,,,,,,,2,5,2,3,1,1,2,5,1,3,1,1,2,1,,1,2,2,1,2,1,6,4,1.841504593,0.184435064,0.750238042
2021011017,1,1,1,2,2,2,2,2,2,1,1,2,2,1,2,2,1,1,3,1,3,10,1,3,2,1,2,14,3,6,1,6,2,2,8,10,3,1,0,0,1,1,0,0,0,0,2,5,2,3,1,2,2,5,2,4,1,2,2,1,1,1,1,2,1,2,2,6,5,1.230218035,1.100835801,0.787143839
2021011060,1,1,2,2,1,2,2,2,2,2,2,2,2,5,7,3,2,1,3,3,3,6,1,3,1,1,2,12,12,2,3,5,8,,8,5,3,1,0,0,1,0,0,0,0,0,2,5,2,1,1,1,1,5,2,3,1,1,2,1,,1,1,1,1,2,1,7,6,2.28014899,0.230976355,1.34132201
2021011075,1,1,1,2,2,2,1,1,2,2,2,2,2,5,7,3,3,1,3,1,3,8,3,3,1,1,2,33,3,6,3,6,2,,9,7,3,1,0,0,1,0,0,0,0,0,2,5,1,2,1,1,2,4,2,3,1,1,2,1,,1,2,2,1,2,1,7,6,1.678360814,1.148241087,0.753079945
2021011112,1,1,1,2,2,1,2,2,2,2,1,2,2,5,6,2,3,4,4,1,2,10,3,3,1,2,3,47,3,7,1,8,2,2,5,10,3,1,0,1,0,1,0,0,0,0,2,4,4,6,3,4,3,5,4,3,1,1,2,1,3,2,,,1,2,4,7,5,1.09827034,1.159058181,0.959116395
2021011187,1,1,1,1,2,2,2,2,2,2,2,2,2,5,8,2,3,3,2,2,2,5,3,3,2,1,3,5,9,6,1,7,2,3,5,2,2,2,,,,,,,,,2,5,7,4,4,4,4,3,3,3,1,1,1,1,1,1,1,1,1,2,3,4,4,1.037538904,2.280892056,0.969858107
2021011210,1,1,1,2,2,2,2,2,1,2,2,2,2,2,10,3,3,6,6,1,2,10,3,3,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
2021011272,1,1,1,2,1,1,2,2,1,2,2,2,2,5,3,2,3,1,3,1,2,8,1,3,2,1,1,5,5,5,1,1,3,3,8,7,3,1,1,1,0,0,0,0,0,0,1,5,2,4,2,4,2,3,4,3,1,1,2,1,3,1,1,1,1,2,1,6,6,0.932552319,2.967673005,1.20072187
2021011281,1,1,1,2,2,1,1,2,2,2,2,2,2,4,6,3,3,2,3,1,3,7,2,3,2,1,3,50,3,7,1,8,2,2,9,4,3,1,1,0,1,0,0,0,0,0,1,5,2,5,2,1,2,4,2,4,1,1,2,1,3,1,1,2,1,2,5,7,5,1.230218035,0.526739803,0.82683349
2021011303,1,1,1,2,1,2,2,2,1,2,2,2,1,4,9,2,3,3,5,3,3,9,2,3,2,2,3,5,6,6,1,8,2,2,8,7,3,1,,,,,,,,,2,5,3,4,1,1,2,4,2,3,1,1,2,1,3,1,1,2,1,2,1,7,6,1.268126391,2.331515885,0.939017295
2021011320,1,1,1,2,1,1,2,2,2,2,2,2,2,5,6,2,3,2,3,1,3,8,2,3,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
2021011322,1,1,1,2,1,1,2,2,2,2,2,2,2,3,7,2,3,3,4,1,3,9,2,3,1,1,2,33,3,5,1,5,2,2,7,6,3,1,1,1,1,0,0,0,0,0,2,4,4,4,2,2,2,4,2,4,1,1,2,1,3,1,1,2,1,2,2,7,6,4.900515703,1.813609968,1.207977411
2021011417,1,1,1,1,1,1,2,2,2,1,1,2,2,2,9,2,3,1,6,1,3,10,3,3,3,1,1,5,3,5,3,3,2,,10,10,3,2,1,1,1,1,0,0,0,0,2,5,7,6,5,5,5,5,5,4,1,1,1,1,,1,2,2,1,2,7,7,7,1.436743518,3.518664891,1.542075673
2021011428,1,1,2,2,1,2,1,2,1,2,2,2,2,5,7,3,1,4,3,3,3,5,1,3,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
2021011505,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,3,1,2,3,1,3,9,1,3,2,1,3,33,6,7,1,9,8,8,9,7,3,1,,,,,,,,,2,5,1,3,1,1,1,3,1,4,1,1,2,2,,1,1,2,1,2,1,7,6,4.325388085,1.825502174,1.277493586
2021011511,1,1,1,2,1,2,1,2,1,1,2,1,2,2,7,1,3,5,4,2,2,10,1,3,2,1,3,10,3,4,1,7,2,2,9,8,2,1,1,0,0,0,0,0,0,0,1,5,6,4,4,4,5,5,3,4,1,1,1,1,1,1,1,1,1,1,7,6,6,1.172807568,2.687908922,0.849031368
2021011693,1,1,1,1,1,2,2,2,2,1,2,2,2,5,7,2,3,2,3,1,3,9,2,3,2,1,3,5,3,6,1,9,2,2,8,8,3,1,,,,,,,,,2,5,5,4,3,2,4,5,3,2,1,1,2,1,3,1,1,2,1,2,4,7,5,0.492065359,2.232959188,1.03249663
2021011753,1,1,1,1,1,1,1,1,1,1,1,1,1,3,6,2,3,4,4,2,3,7,3,3,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
2021011846,1,1,1,1,1,1,2,2,1,2,2,2,2,5,9,2,3,3,3,1,3,10,1,3,2,1,2,42,5,6,1,6,8,8,7,8,3,2,0,0,1,0,0,0,0,0,2,5,1,5,1,2,3,1,1,4,1,1,2,2,,1,1,2,1,2,4,7,6,0.456377341,0.261456473,0.760874225
