NFCSID,A1(筛选value=1,A3,B2_1（整理所有B_2）,B2_2,B2_3,B2_4,B2_5,B2_7,B2_20,B2_21,B2_23,B2_24,B2_25,B30,B4,B10,C22_3,C24,D2,D21,D30,G1,G30_1,G30_2,G30_3,G7,S_Income
2021012164,1,1,1,1,1,1,1,1,1,2,2,2,2,4,7,2,3,5,5,1,2,9,3,3,98,1,2
2021012166,1,1,1,2,1,2,1,2,2,2,2,2,2,98,6,3,2,98,2,3,3,8,2,3,1,1,1
2021012173,1,1,2,1,1,1,2,2,2,1,2,2,2,5,6,2,2,5,3,3,1,8,2,3,1,1,2
2021012184,1,1,1,2,2,2,2,2,2,2,2,2,2,3,5,3,1,1,98,98,2,8,3,2,2,1,1
2021012189,1,1,1,2,2,2,1,2,2,2,2,2,2,5,4,3,1,2,3,3,3,6,3,3,1,1,1
2021012194,1,1,2,2,1,2,2,2,2,2,2,2,98,5,4,3,1,1,2,98,98,5,2,3,1,1,1
2021012207,1,1,2,2,2,2,1,2,1,2,2,2,2,4,99,2,1,3,1,1,3,8,3,3,1,1,1
2021012227,1,1,2,2,2,1,2,2,2,2,2,2,2,1,1,3,1,1,98,2,2,6,1,2,2,1,1
2021012234,1,1,1,2,2,2,2,2,1,2,1,2,2,5,5,3,1,4,3,1,3,8,1,3,1,1,1
2021012243,1,1,1,2,2,2,2,2,2,2,2,2,2,1,1,2,1,1,98,1,3,5,1,2,3,1,1
2021012252,1,1,1,1,1,2,2,2,1,2,2,2,2,5,6,4,1,2,98,98,3,4,2,3,1,1,2
2021012269,1,1,1,1,1,1,1,1,2,1,1,1,1,3,6,1,2,6,5,2,2,10,3,2,3,1,3
2021012290,1,1,1,1,1,2,1,1,2,1,2,1,1,5,4,1,2,4,3,3,2,5,2,2,2,1,1
2021012322,1,1,2,2,1,2,1,2,1,2,2,2,2,5,8,4,1,3,2,3,3,6,1,2,1,1,3
2021012326,1,1,1,1,1,2,1,2,1,2,2,2,2,5,7,3,3,2,3,3,3,9,2,3,1,1,3
2021012335,1,1,1,1,1,2,1,2,2,2,2,2,2,5,9,4,1,4,2,3,3,6,1,1,3,1,2
2021012350,1,1,2,2,1,1,1,2,1,98,1,1,2,2,6,1,1,4,4,2,2,9,2,1,1,1,2
2021012367,1,1,2,2,1,2,1,1,2,2,2,2,2,5,6,2,1,98,98,98,98,5,2,3,98,98,3
2021012420,1,1,1,1,1,1,1,1,1,1,1,1,1,2,5,1,3,5,3,2,1,9,2,2,3,1,1
2021012440,1,1,1,1,98,1,1,2,1,1,2,2,1,2,4,1,3,3,2,1,2,10,2,3,3,1,1
2021012456,1,1,1,1,2,1,1,1,2,1,2,1,1,2,5,2,2,4,5,2,2,6,3,3,3,1,2
2021012458,1,1,1,1,1,2,2,2,2,2,2,2,2,5,8,2,2,5,98,3,3,9,2,1,1,1,3
2021012459,1,1,2,2,1,1,2,2,2,2,2,2,2,5,9,3,3,1,3,1,3,7,1,3,1,1,3
2021012461,1,1,1,2,1,1,2,2,2,2,2,2,2,5,8,2,3,3,3,1,2,9,3,3,1,1,2
2021012463,1,1,1,2,1,1,1,2,2,2,98,2,2,5,7,2,98,3,4,3,1,6,1,2,3,98,2
2021012470,1,1,2,1,2,2,2,2,2,2,2,2,2,3,6,4,3,2,3,3,2,7,3,2,1,1,2
2021012473,1,1,1,2,2,2,2,2,2,2,2,2,2,2,7,3,3,3,3,1,3,8,1,3,98,1,3
2021012476,1,1,1,2,1,2,2,2,2,2,2,2,2,5,10,4,1,2,2,3,3,8,1,3,1,1,3
2021012481,1,1,1,2,1,2,2,2,1,2,2,2,2,5,7,2,3,1,3,3,3,7,2,3,1,2,2
2021012483,1,1,2,2,2,2,1,2,2,2,2,2,2,5,99,3,1,3,98,3,3,8,1,3,1,98,3
2021012489,1,1,1,1,1,2,1,2,1,2,2,2,98,5,8,3,2,4,3,3,3,7,1,3,1,1,2
2021012498,1,1,1,1,1,1,2,2,2,1,2,2,2,5,10,3,3,1,2,2,2,7,3,3,2,1,2
2021012505,1,1,1,2,2,2,2,2,2,2,2,2,2,2,3,2,2,4,2,1,2,5,3,98,3,1,2
2021012508,1,1,98,98,98,98,2,1,98,99,98,98,98,2,4,1,2,4,4,3,1,5,2,3,3,2,1
2021012513,1,1,1,2,2,2,1,2,2,2,2,2,2,5,10,1,3,3,4,3,2,9,3,3,1,1,3
2021012516,1,1,1,2,2,2,2,2,2,1,2,2,2,5,7,3,3,2,4,1,3,9,2,3,2,1,3
2021012520,1,1,1,2,1,1,1,2,2,1,2,2,2,5,6,3,3,1,4,1,3,7,1,3,1,2,3
